candidate_id,education,experience,python,sql,excel,power_bi,statistics,machine_learning,tableau,communication,git,data_visualization,projects,internships,certifications,target_role,readiness_score,readiness_category,job_selected
C0092,BCA,0,1,0,1,1,1,0,1,0,0,0,3,0,4,Data Scientist,53.72,Not Ready,0
C0093,MCA,1,1,1,1,1,1,1,1,0,1,1,1,1,1,Business Analyst,58.86,Needs Improvement,0
C0094,B.Sc,0,1,1,1,1,0,1,1,1,1,1,1,2,4,ML Engineer,69.54,Needs Improvement,1
C0095,M.Tech,0,0,1,1,1,1,1,0,1,1,0,4,0,0,Python Developer,52.29,Not Ready,1
C0096,BCA,2,1,0,0,0,1,0,1,1,0,1,0,0,3,Python Developer,39.02,Not Ready,0
C0097,B.Tech,0,1,1,1,1,1,1,1,1,0,1,0,2,4,Python Developer,62.03,Needs Improvement,0
C0098,B.E,0,0,1,1,0,1,0,0,1,1,0,1,0,1,ML Engineer,22.38,Not Ready,0
C0099,B.Tech,0,0,1,0,1,0,0,0,1,1,0,4,0,4,ML Engineer,47.6,Not Ready,0
C0100,M.Tech,0,1,1,1,0,0,1,1,1,0,1,3,0,0,Business Analyst,44.77,Not Ready,0
C0101,M.Tech,0,1,0,1,1,0,1,1,1,1,1,0,2,3,Data Scientist,76.14,Ready,1
C0102,MCA,1,1,1,1,1,0,1,1,0,1,0,0,1,4,Business Analyst,53.53,Not Ready,0
C0103,BCA,0,1,1,1,0,1,0,1,1,1,1,1,1,3,ML Engineer,54.89,Not Ready,1
C0104,MCA,0,1,1,1,1,1,1,1,1,1,0,2,2,4,Python Developer,72.67,Needs Improvement,1
C0105,B.Tech,1,1,0,1,0,0,1,1,1,1,1,1,1,1,Data Scientist,55.22,Needs Improvement,0
C0106,B.Tech,2,1,1,0,1,1,0,0,1,0,1,3,1,0,Python Developer,54.65,Not Ready,1
C0107,MCA,0,1,1,1,1,0,0,1,1,1,1,0,1,2,ML Engineer,57.06,Needs Improvement,1
C0108,BCA,0,1,1,1,0,1,1,1,0,1,1,4,0,4,Business Analyst,61.11,Needs Improvement,0
C0109,BCA,0,1,0,1,0,0,0,1,1,1,1,0,0,2,Python Developer,31.09,Not Ready,0
C0110,M.Tech,0,1,1,0,0,0,1,0,0,0,1,3,0,0,Python Developer,22.01,Not Ready,0
C0111,B.E,1,0,1,0,1,1,0,1,0,0,1,5,0,2,Data Scientist,41.38,Not Ready,0
C0112,M.Tech,0,1,0,1,1,1,0,1,1,1,0,3,2,4,Python Developer,64.91,Needs Improvement,1
C0113,B.Sc,0,1,1,1,1,1,1,0,1,0,1,5,1,4,Python Developer,72.5,Needs Improvement,1
C0114,B.Tech,0,0,1,0,0,1,1,0,1,1,0,5,2,3,ML Engineer,56.84,Needs Improvement,0
C0115,BCA,0,1,0,1,1,1,1,1,1,0,0,4,2,1,Business Analyst,69.22,Needs Improvement,1
C0116,B.E,0,1,1,1,1,1,0,1,0,1,1,3,2,2,Data Analyst,74.14,Needs Improvement,1
C0117,M.Tech,0,1,0,0,0,1,1,1,1,0,1,1,0,3,ML Engineer,41.83,Not Ready,0
C0118,B.Sc,0,1,0,0,1,1,0,1,0,1,1,2,0,2,ML Engineer,35.03,Not Ready,1
C0119,B.Tech,1,0,0,1,1,1,0,0,0,0,1,5,2,1,ML Engineer,51.67,Not Ready,0
C0120,BCA,0,1,1,1,1,0,1,1,0,0,1,5,2,4,Data Scientist,70.5,Needs Improvement,1
C0121,B.E,0,1,0,1,1,0,0,0,1,0,1,4,2,4,Data Scientist,56.21,Needs Improvement,1
C0122,M.Tech,0,0,1,1,1,1,1,1,1,1,1,0,0,0,Data Scientist,46.01,Not Ready,1
C0123,BCA,0,0,1,0,1,1,1,1,1,0,1,4,2,4,Python Developer,67.23,Needs Improvement,0
C0124,B.Tech,0,0,0,1,1,1,0,0,1,1,1,3,2,3,Business Analyst,57.57,Needs Improvement,0
C0125,B.Sc,0,0,0,1,1,0,0,0,1,0,1,0,0,1,Data Scientist,21.32,Not Ready,0
C0126,B.Sc,0,1,1,1,1,0,1,1,0,1,1,4,2,3,Data Scientist,74.54,Needs Improvement,1
C0127,B.Sc,0,0,1,0,1,1,1,0,0,1,1,2,1,0,ML Engineer,45.8,Not Ready,1
C0128,B.Sc,1,0,1,0,1,1,0,1,1,1,0,2,1,2,Data Analyst,49.45,Not Ready,1
C0129,M.Tech,0,1,0,1,0,1,1,0,0,1,1,0,2,2,ML Engineer,54.36,Not Ready,1
C0130,M.Tech,1,1,1,0,1,0,0,1,1,0,1,1,1,2,Data Analyst,46.1,Not Ready,0
C0131,B.E,1,1,1,1,1,1,1,1,1,1,0,0,1,4,Data Analyst,61.41,Needs Improvement,0
C0132,BCA,0,0,0,1,1,1,1,1,1,1,1,4,1,4,Data Scientist,72.9,Needs Improvement,1
C0133,M.Tech,0,0,1,1,1,1,1,0,0,1,0,1,1,1,Business Analyst,39.41,Not Ready,0
C0134,BCA,1,1,0,0,0,1,1,1,1,1,0,0,2,0,Data Scientist,49.61,Not Ready,1
C0135,BCA,0,1,1,1,0,0,1,1,0,1,1,3,2,0,Data Scientist,45.48,Not Ready,0
C0136,MCA,0,1,0,0,0,1,0,1,0,1,0,5,1,2,ML Engineer,53.96,Not Ready,1
C0137,MCA,0,1,1,1,1,1,0,1,1,1,0,0,1,3,Python Developer,59.86,Needs Improvement,1
C0138,BCA,0,1,1,0,0,0,0,0,0,1,1,5,2,1,Data Analyst,42.0,Not Ready,1
C0139,MCA,0,0,1,0,1,1,0,0,1,0,0,2,2,4,Data Scientist,40.61,Not Ready,0
C0140,B.E,0,0,1,1,0,1,0,1,1,1,1,0,0,0,Data Analyst,46.86,Not Ready,0
C0141,B.E,1,1,0,1,1,1,0,1,1,1,1,1,1,1,Data Analyst,55.81,Needs Improvement,1
C0142,B.E,0,1,1,1,1,1,1,1,0,1,1,1,2,2,Data Analyst,63.33,Needs Improvement,1
C0143,MCA,0,0,1,1,0,1,1,1,0,1,1,1,0,1,Data Analyst,32.67,Not Ready,0
C0144,M.Tech,0,0,1,1,1,1,1,0,1,0,0,3,0,3,ML Engineer,47.75,Not Ready,0
C0145,MCA,0,1,0,1,1,1,1,0,1,1,1,2,1,0,Python Developer,53.86,Not Ready,0
C0146,B.Tech,0,1,1,1,0,1,1,1,0,1,0,0,2,4,ML Engineer,62.08,Needs Improvement,1
C0147,MCA,1,0,1,1,1,0,1,0,0,1,0,5,0,2,ML Engineer,45.5,Not Ready,0
C0148,BCA,1,1,1,1,0,1,1,1,1,1,1,3,1,1,ML Engineer,63.4,Needs Improvement,1
C0149,BCA,1,0,0,0,0,1,1,1,1,1,1,2,1,2,Business Analyst,56.25,Needs Improvement,1
C0150,B.Tech,0,1,0,1,0,0,1,0,1,0,1,3,1,0,ML Engineer,46.53,Not Ready,0
C0151,B.Sc,1,1,1,1,0,1,0,1,1,1,0,2,2,1,Python Developer,54.14,Not Ready,1
C0152,MCA,0,1,1,0,1,0,1,1,0,1,0,2,2,1,Business Analyst,56.91,Needs Improvement,1
C0153,B.Tech,1,1,1,1,1,1,1,1,0,0,0,0,1,0,Data Analyst,48.69,Not Ready,1
C0154,BCA,0,1,0,0,1,0,1,1,1,1,1,4,1,0,Python Developer,60.96,Needs Improvement,1
C0155,B.Sc,0,1,1,1,0,0,1,1,1,0,1,1,0,4,Python Developer,51.15,Not Ready,0
C0156,M.Tech,0,1,1,1,1,1,1,1,1,0,1,3,1,3,ML Engineer,58.39,Needs Improvement,0
C0157,B.Sc,1,1,1,1,1,1,0,0,1,1,0,2,1,0,Data Analyst,53.74,Not Ready,0
C0158,MCA,0,1,1,1,1,1,1,1,0,1,1,0,1,4,ML Engineer,69.8,Needs Improvement,0
C0159,B.Tech,0,1,0,0,1,0,1,1,1,1,0,2,1,2,Business Analyst,44.53,Not Ready,1
C0160,MCA,2,0,1,1,1,1,0,1,0,1,1,4,0,2,ML Engineer,63.56,Needs Improvement,0
C0161,B.Tech,0,1,0,1,1,1,0,1,1,0,0,0,2,1,ML Engineer,44.62,Not Ready,0
C0162,B.Tech,0,1,1,1,0,0,0,0,1,1,1,2,1,1,Data Analyst,32.0,Not Ready,0
C0163,B.Tech,0,0,1,1,0,0,1,0,1,1,1,5,2,1,Python Developer,68.86,Needs Improvement,1
C0164,B.Sc,0,1,1,1,0,1,1,1,1,0,1,1,2,0,Python Developer,52.49,Not Ready,0
C0165,BCA,1,1,0,1,0,1,0,0,0,1,1,2,2,2,Business Analyst,56.03,Needs Improvement,1
C0166,B.Tech,0,1,1,1,1,1,0,0,1,0,1,2,2,4,Python Developer,64.07,Needs Improvement,0
C0167,B.E,0,0,1,0,0,1,1,0,1,0,1,4,2,3,Data Scientist,63.29,Needs Improvement,1
C0168,BCA,0,0,1,0,0,1,1,1,1,1,0,4,2,2,Business Analyst,62.03,Needs Improvement,1
C0169,B.E,1,1,0,1,1,0,1,1,0,1,1,4,2,1,Business Analyst,66.83,Needs Improvement,1
C0170,BCA,0,1,1,1,1,1,0,1,0,1,1,2,2,2,ML Engineer,60.53,Needs Improvement,1
C0171,B.E,1,1,1,0,1,0,1,0,1,1,0,2,1,3,Python Developer,60.49,Needs Improvement,0
C0172,BCA,1,1,1,0,0,1,1,1,1,1,1,5,2,1,Python Developer,67.13,Needs Improvement,0
C0173,B.Sc,0,1,1,1,1,0,0,1,0,0,0,2,2,4,ML Engineer,56.73,Needs Improvement,1
C0174,M.Tech,0,1,1,1,0,1,1,1,1,1,0,2,1,0,Business Analyst,49.5,Not Ready,1
C0175,B.Sc,0,1,0,0,0,0,1,0,0,1,1,0,2,0,Python Developer,38.26,Not Ready,0
C0176,B.Sc,0,0,1,0,1,1,0,0,0,1,1,1,0,4,Business Analyst,41.31,Not Ready,0
C0177,B.Sc,1,1,0,1,0,1,0,1,1,0,1,2,2,2,ML Engineer,62.22,Needs Improvement,1
C0178,MCA,1,1,0,0,0,1,1,0,1,1,1,3,1,3,Python Developer,59.91,Needs Improvement,1
C0179,B.E,0,1,1,1,1,1,0,1,0,1,0,1,1,2,Data Analyst,42.74,Not Ready,0
C0180,BCA,0,0,0,1,1,1,1,1,1,0,1,4,2,0,Data Analyst,56.2,Needs Improvement,0
C0181,B.Sc,0,1,0,1,1,1,1,1,1,0,1,1,0,0,Python Developer,50.36,Not Ready,1
C0182,B.Sc,1,1,0,0,1,0,0,0,1,1,0,3,2,2,Python Developer,51.83,Not Ready,1
C0183,MCA,0,1,1,1,1,1,0,1,1,0,1,1,0,4,Python Developer,62.9,Needs Improvement,0
C0184,B.E,0,1,1,1,0,1,1,0,0,1,1,3,1,3,Python Developer,62.02,Needs Improvement,0
C0185,MCA,1,1,1,0,0,1,1,1,1,0,1,4,0,1,Data Analyst,53.17,Not Ready,1
C0186,BCA,2,0,1,0,1,0,1,1,0,1,1,3,2,0,Python Developer,58.02,Needs Improvement,1
C0187,B.E,1,1,0,1,1,0,1,0,0,1,0,0,1,3,Business Analyst,45.51,Not Ready,0
C0188,MCA,0,1,1,0,1,1,1,1,1,0,0,0,0,1,Data Scientist,29.43,Not Ready,1
C0189,BCA,0,0,1,1,1,0,1,1,1,1,1,0,2,1,Python Developer,64.87,Needs Improvement,1
C0190,B.E,1,1,0,0,1,1,1,0,1,1,1,5,1,3,Data Analyst,73.21,Needs Improvement,1
C0191,B.Tech,1,1,1,1,0,0,1,0,1,1,1,5,0,1,Data Scientist,67.14,Needs Improvement,1
C0192,M.Tech,0,0,0,1,0,0,1,1,1,1,0,5,0,3,Business Analyst,42.1,Not Ready,0
C0193,BCA,2,1,1,1,0,1,1,0,1,1,0,2,0,2,ML Engineer,65.72,Needs Improvement,1
C0194,B.E,1,1,1,1,1,1,1,0,0,1,1,3,1,4,Python Developer,84.16,Ready,1
C0195,B.Tech,1,1,1,1,1,0,1,0,1,1,0,2,0,4,Business Analyst,52.9,Not Ready,1
C0196,BCA,1,0,0,1,1,1,0,1,1,1,1,2,2,0,Business Analyst,63.36,Needs Improvement,1
C0197,B.E,0,1,0,1,1,1,0,0,1,0,1,2,0,0,ML Engineer,39.01,Not Ready,1
C0198,B.E,2,0,1,0,1,1,1,1,0,1,0,1,0,4,Python Developer,48.28,Not Ready,0
C0199,B.E,1,1,0,0,0,1,0,1,1,0,1,0,2,2,ML Engineer,49.96,Not Ready,0
C0200,BCA,1,1,1,0,1,1,0,1,0,0,1,0,0,0,Python Developer,42.17,Not Ready,1
C0201,M.Tech,0,1,0,0,0,1,1,0,0,0,1,3,2,0,ML Engineer,37.99,Not Ready,0
C0202,MCA,0,0,0,1,1,0,1,1,1,1,1,4,1,4,Data Analyst,71.33,Needs Improvement,1
C0203,B.Sc,0,1,0,0,1,0,1,1,1,1,1,2,0,4,Data Analyst,46.17,Not Ready,0
C0204,B.Tech,1,0,1,1,0,0,0,1,0,0,1,0,0,1,Business Analyst,22.03,Not Ready,0
C0205,B.Tech,0,0,0,1,1,1,1,1,1,1,1,3,1,0,Business Analyst,58.68,Needs Improvement,0
C0206,B.Sc,1,0,1,1,1,0,1,1,1,1,0,0,0,2,ML Engineer,48.63,Not Ready,1
C0207,M.Tech,0,1,0,1,0,0,0,1,1,1,0,2,1,2,Business Analyst,39.92,Not Ready,1
C0208,B.E,0,0,0,0,1,0,1,1,1,1,1,2,0,1,Data Analyst,45.55,Not Ready,0
C0209,B.Sc,1,0,0,1,1,1,1,0,1,1,1,3,0,1,Data Scientist,57.65,Needs Improvement,1
C0210,B.Tech,2,0,1,0,1,0,1,1,1,1,0,3,2,2,Business Analyst,71.29,Needs Improvement,1
C0211,B.E,0,1,1,1,1,0,1,0,1,0,1,3,2,3,Business Analyst,64.38,Needs Improvement,1
C0212,B.E,0,0,1,0,1,1,1,0,0,1,1,0,2,1,Data Analyst,48.51,Not Ready,0
C0213,B.E,0,0,1,0,1,1,1,0,1,1,1,0,2,0,Data Scientist,46.27,Not Ready,0
C0214,BCA,1,1,1,0,1,1,1,0,1,0,1,3,0,2,Data Analyst,67.77,Needs Improvement,1
C0215,B.Sc,0,1,1,1,0,1,0,0,1,1,0,0,0,4,Business Analyst,38.94,Not Ready,0
C0216,B.E,0,1,1,1,1,0,1,1,1,1,1,4,1,2,Data Scientist,82.03,Ready,1
C0217,M.Tech,1,1,1,0,1,1,1,1,0,1,1,0,1,2,ML Engineer,59.17,Needs Improvement,1
C0218,B.E,0,0,1,1,1,1,1,0,1,0,1,0,0,3,ML Engineer,39.12,Not Ready,0
C0219,B.Sc,0,1,0,1,1,1,0,0,0,0,0,4,1,2,ML Engineer,50.84,Not Ready,1
C0220,BCA,0,1,0,1,1,1,0,1,0,1,1,5,2,4,Python Developer,74.13,Needs Improvement,1
C0221,M.Tech,0,1,1,1,0,1,1,1,0,1,1,0,2,2,Data Analyst,63.26,Needs Improvement,1
C0222,M.Tech,0,1,1,1,1,1,1,1,1,1,1,5,1,0,Data Analyst,81.12,Ready,0
C0223,M.Tech,0,1,0,1,0,0,1,1,0,0,1,2,1,3,Business Analyst,47.69,Not Ready,1
C0224,MCA,0,1,1,1,1,1,0,0,1,1,0,4,0,4,ML Engineer,57.54,Needs Improvement,0
C0225,MCA,0,1,1,0,1,1,1,1,1,1,1,2,0,2,ML Engineer,65.38,Needs Improvement,0
C0226,MCA,0,1,1,1,1,1,1,1,0,0,0,5,0,2,Business Analyst,58.5,Needs Improvement,1
C0227,B.E,0,1,0,1,1,0,0,0,0,1,0,3,2,3,Python Developer,51.93,Not Ready,0
C0228,B.Tech,2,1,1,1,0,1,0,1,0,1,1,5,2,3,Python Developer,70.23,Needs Improvement,1
C0229,B.Sc,1,1,0,0,1,1,0,1,1,1,0,0,1,1,ML Engineer,47.73,Not Ready,1
C0230,MCA,0,1,1,0,0,1,1,1,0,1,0,2,0,1,Python Developer,38.31,Not Ready,0
C0231,B.E,0,1,0,1,1,0,0,0,0,0,1,3,1,3,Business Analyst,51.77,Not Ready,0
C0232,B.Tech,0,0,1,1,1,1,1,1,1,1,0,5,0,3,ML Engineer,69.62,Needs Improvement,1
C0233,B.E,0,1,1,0,1,1,1,1,1,1,1,0,0,4,ML Engineer,60.7,Needs Improvement,1
C0234,MCA,1,1,1,1,1,1,0,1,1,1,1,1,1,2,Data Analyst,69.93,Needs Improvement,1
C0235,M.Tech,1,1,1,1,1,1,1,0,1,1,0,4,0,2,Python Developer,61.01,Needs Improvement,1
C0236,B.Sc,0,1,1,0,1,0,0,1,1,1,0,2,1,2,Business Analyst,57.12,Needs Improvement,1
C0237,MCA,1,1,1,1,1,1,1,1,0,1,1,5,1,3,ML Engineer,91.96,Ready,1
C0238,B.Sc,0,1,1,1,1,1,1,1,1,1,1,2,0,3,ML Engineer,70.46,Needs Improvement,1
C0239,B.Tech,0,1,0,1,1,1,1,0,0,1,1,5,1,1,Python Developer,68.95,Needs Improvement,1
C0240,B.E,1,1,1,1,1,1,1,1,1,0,1,5,1,3,Data Scientist,79.15,Ready,1
C0241,B.Sc,0,1,0,0,1,0,1,1,1,1,0,4,2,2,ML Engineer,56.01,Needs Improvement,0
C0242,B.Tech,2,0,1,1,1,1,1,0,0,0,1,0,0,1,ML Engineer,45.7,Not Ready,0
C0243,B.Sc,0,1,1,0,1,0,1,0,1,1,1,0,2,2,ML Engineer,55.67,Needs Improvement,1
C0244,M.Tech,0,1,1,1,0,1,0,1,1,0,1,5,1,2,Python Developer,61.53,Needs Improvement,1
